full_id,osm_id,osm_type,admin_level,boundary,natural,highway,lanes,maxspeed,name,oneway,surface,tiger:cfcc,tiger:county,tiger:reviewed,cycleway:both,name_1,tiger:name_base,tiger:name_base_1,tiger:name_direction_suffix,destination,destination:ref,ref,tiger:name_direction_prefix,tiger:name_direction_prefix_1,bicycle,cycleway,name:etymology:wikidata,old_name,tiger:name_type,lanes:backward,sidewalk,trolley_wire,alt_name,bridge,layer,name_2,old_ref,hov:lanes:backward,lanes:forward,tiger:name_direction_suffix_1,turn:lanes:backward,turn:lanes:forward,hov:lanes:forward,waterway,cycleway:left,cycleway:right,horse,motor_vehicle,lanes:both_ways,turn:lanes:both_ways,name:left,name:right,junction,centre_turn_lane,is_in,turn:lanes,border_type,lit,tunnel
w368216913,"368216913",way,,,,tertiary,"2",,Northeast 193rd Street,,,A41,"King, WA",no,,,193rd,,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w369432862,"369432862",way,,,,tertiary,,30 mph,42nd Avenue South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"King, WA",,,,
w369432863,"369432863",way,,,,tertiary,,30 mph,42nd Avenue South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"King, WA",,,,
w369432869,"369432869",way,,,,residential,,25 mph,South 164th Street,,,A41,"King, WA",,,,164th,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w370811246,"370811246",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w371010499,"371010499",way,,,,primary,"4",30 mph,Northeast 145th Street,no,,A31,"King, WA",no,,,145th,State Route 523,,,,WA 523,NE,,,,,,Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w372362676,"372362676",way,,,,secondary,"5",35 mph,Southwest 43rd Street,,asphalt,A41,"King, WA",no,,South 180th Street,43rd,180th,,,,,SW,S,,,,,,"2",,,,,,,,,"2",,,,,,,,,,"1",left,,,,,,,,,
w373086711,"373086711",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w373086720,"373086720",way,,,,secondary,,35 mph,South 277th Street,,,A41,"King, WA",,,,277th,52nd,,,,,S,S,,,,,,,,,South 52nd Street Northeast,yes,"1",,,,,NE,,,,,,,,,,,,,,,,,,,
w373086731,"373086731",way,,,,secondary,"5",35 mph,South 277th Street,,,A41,"King, WA",no,,South 52nd Street Northeast,277th,52nd,,,,,S,S,,,,,,"3",,,,,"1",,,,"2",NE,left||right,,,,,,,,,,,,,,,,,,
