,0
1021,44072
1022,25851
1023,18961
1024,18536
1025,15361
1026,34721
1027,13232
1028,10101
1029,39414
1030,12182
1031,24812
1032,51873
1033,60396
1034,8351
1035,11831
1036,49988
1037,16617
1038,40593
1039,48170
1040,6984
1041,12952
1042,16760
1043,14340
1044,6682
1045,22912
1046,41338
1047,15657
1048,51420
1049,27405
1050,12005
1051,12402
1052,20309
1053,5795
1054,36697
1055,18505
1056,6485
1057,50139
1058,20683
1059,13523
1060,19883
1061,32713
1062,3136
1063,70250
1064,38895
1065,18450
1066,35440
1067,30974
1068,28448
1069,15114
1070,19801
1071,26358
1072,18787
1073,32964
1074,26720
1075,34079
1076,37139
1077,45847
1078,36233
1079,23991
1080,27234
1081,22615
1082,43827
1083,10182
1084,12212
1085,7926
1086,69973
1087,15998
1088,16320
1089,33103
1090,18704
1091,10304
1092,18842
1093,38654
1094,14717
1095,50586
1096,48077
1097,7282
1098,47436
1099,40370
1100,6238
1101,32257
1102,41283
1103,14603
1104,56271
1105,8467
1106,45988
1107,44800
1108,44978
1109,10206
1110,8779
1111,34274
1112,22853
1113,22177
1114,5488
1115,16604
1116,28057
1117,14747
1118,19486
1119,41638
1120,32546
1121,50437
1122,22571
1123,29409
1124,16523
1125,34773
1126,8027
1127,18569
1128,39071
1129,5286
1130,10859
1131,10481
1132,33972
1133,47853
1134,26547
1135,4411
1136,18205
1137,9451
1138,49591
1139,37949
1140,44413
1141,25758
1142,7758
1143,27875
1144,23763
1145,39313
1146,32066
1147,34592
1148,21512
1149,8973
1150,6292
1151,17324
1152,17108
1153,34736
1154,8008
1155,54090
1156,25337
1157,5389
1158,14053
1159,26124
1160,44946
1161,33766
1162,17856
1163,31399
1164,19245
1165,2267
1166,25938
1167,10148
1168,28101
1169,34570
1170,23442
1171,11774
1172,23641
1173,17784
1174,4942
1175,19402
1176,16788
1177,16927
1178,5274
1179,17669
1180,35086
1181,21422
1182,37554
1183,5641
1184,22674
1185,9310
1186,9310
1187,15636
1188,34481
1189,34415
1190,29166
1191,32591
1192,17328
1193,17239
1194,29498
1195,31696
1196,60077
1197,1401
1198,12618
1199,28131
1200,26075
1201,3509
1202,16343
1203,39892
1204,36150
1205,21999
1206,17293
1207,5778
1208,14585
1209,48778
1210,52367
1211,36078
1212,38071
1213,33944
1214,24302
1215,14836
1216,5569
1217,40855
1218,12785
1219,28066
1220,56767
1221,16080
1222,31992
1223,26011
1224,5126
1225,30393
1226,14721
1227,31257
1228,29126
1229,29126
1230,15271
1231,22625
1232,18039
1233,25478
1234,28738
1235,18740
1236,9649
1237,69019
1238,50103
1239,31313
1240,11849
1241,4529
1242,21384
1243,35214
1244,37528
1245,18151
1246,33491
1247,16222
1248,2781
1249,8273
1250,34082
1251,30930
1252,55016
1253,38130
1254,7809
1255,20218
1256,19842
1257,36049
1258,11939
1259,43625
1260,12256
1261,26593
1262,25228
1263,17541
1264,18167
1265,26422
1266,43654
1267,36594
1268,33954
1269,6208
1270,34436
1271,32502
1272,47085
1273,13666
1274,8445
1275,28325
1276,13674
1277,26184
1278,20432
1279,34613
1280,45189
1281,35961
1282,18384
1283,23430
1284,19595
1285,29720
1286,36718
1287,15022
1288,37243
1289,13237
1290,25647
1291,16993
1292,3547
1293,7863
1294,12473
1295,13881
1296,44079
1297,17869
1298,41686
1299,41887
1300,22794
1301,13926
1302,13926
1303,36317
1304,25449
1305,1385
1306,19486
1307,18541
1308,21885
1309,11357
1310,36762
1311,6594
1312,45854
1313,18670
1314,28138
1315,45670
1316,6624
1317,41030
1318,44106
1319,46390
1320,27851
1321,21375
1322,34231
1323,12573
1324,21261
1325,47044
1326,36839
1327,10786
1328,49909
1329,25492
1330,11076
1331,41909
1332,48640
1333,25040
1334,25040
1335,38065
1336,21583
1337,35886
1338,19336
1339,36945
1340,26634
1341,35532
1342,58962
1343,8131
1344,44156
1345,36538
1346,5754
1347,33850
1348,10690
1349,33418
1350,29225
1351,16437
1352,32790
1353,44978
1354,45238
1355,8566
1356,32222
1357,3668
1358,41236
1359,32266
1360,21096
1361,32680
1362,13335
1363,44982
1364,33078
1365,26840
1366,9871
1367,35779
1368,9373
1369,27113
1370,25761
1371,14699
1372,44106
1373,18362
1374,8630
1375,23572
1376,33709
1377,5264
1378,46750
1379,26004
1380,35788
1381,14522
1382,29042
1383,17508
1384,37155
1385,25945
1386,32839
